"National Treasure 3",2014,0,N/A,
"Jungle Cruise",2014,0,N/A,
"Maleficent",2014,97,,
"Muppets: Most Wanted",2014,107,PG,
"Big Hero 6",2014,0,,
"Tomorrowland",2014,0,,
"Planes: Fire Rescue",2014,0,NR,
"Million Dollar Arm",2014,124,PG,
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,0,,
"Into The Woods",2014,0,,
"Pirate Fairy, The",2014,90,G,
Monsters University,2013,0,N/A,
Lone Ranger,2013,149,PG-13,
Oz: The Great and Powerful,2013,130,PG,
Magic Kingdom,2013,0,N/A,
Phineas and Ferb Movie,2013,0,,
McFarland,2013,0,N/A,
"Hill, The",2013,0,N/A,
Frozen,2013,102,PG,
Super Buddies,2013,130,G,
Planes,2013,91,PG,
Saving Mr. Banks,2013,125,PG-13,
Teen Beach Movie,2013,110,PG,
Tinker Bell: Secret of the Wings,2012,0,G,
Let It Shine,2012,0,NR,
Brave,2012,100,PG,
"Odd Life of Timothy Green, The",2012,105,PG,
John Carter,2012,132,PG-13,
Frenemies,2012,0,NR,
Wreck-It Ralph,2012,108,PG,
Frankenweenie,2012,87,PG,
"Secret World of Arrietty, The",2012,94,G,
Treasure Buddies,2012,92,G,
Beverly Hills Chihuahua 3: Viva La Fiesta!,2012,90,G,
Radio Rebel,2012,89,NR,
Sofia the First: Once Upon a Princess,2012,90,G,
Santa Paws 2: The Santa Pups,2012,88,G,
Girl vs. Monster,2012,89,NR,
Mars Needs Moms,2011,88,PG,
Pirates of the Caribbean: On Stranger Tides,2011,136,PG-13,
Cars 2,2011,113,G,
Beverly Hills Chihuahua 2,2011,84,G,
Prom,2011,104,PG,
Winnie the Pooh,2011,63,G,
Lemonade Mouth,2011,107,G,
Sharpay's Fabulous Adventure,2011,89,G,
"Suite Life Movie, The",2011,79,NR,
Once Upon A Warrior (Anaganaga O Dheerudu),2011,133,PG-13,
"Muppets, The",2011,103,PG,
Spooky Buddies,2011,88,G,
Phineas & Ferb: Across the 2nd Dimension,2011,78,G,
"Good Luck Charlie, It's Christmas",2011,90,NR,
Geek Charming,2011,98,G,
Alice In Wonderland,2010,108,PG,
Prince of Persia : Sands of Time,2010,116,PG,
Toy Story 3,2010,103,G,
Star Struck,2010,90,NR,
Sorcerers Apprentice,2010,109,PG,
TRON Legacy,2010,127,PG,
Tinker Bell and the Great Fairy Rescue,2010,76,G,
Tangled,2010,100,PG,
Secretariat,2010,123,PG,
Camp Rock 2: The Final Jam,2010,97,G,
Den Brother,2010,89,G,
Avalon High,2010,0,PG,
"Search for Santa Paws, The",2010,88,G,
Race to Witch Mountain,2009,98,PG,
Hannah Montana: The Movie,2009,102,G,
Up,2009,86,G,
Space Buddies,2009,84,G,
G-Force,2009,89,G,
Dadnapped,2009,90,G,
Hatching Pete,2009,89,G,
Tigger & Pooh and a Musical Too,2009,60,NR,
"Princess and the Frog, The",2009,97,G,
Ponyo,2009,103,G,
Princess Protection Program,2009,89,G,
Old Dogs,2009,88,PG,
Tinker Bell and the Lost Treasure,2009,81,G,
"Christmas Carol, A",2009,98,PG,
Santa Buddies,2009,88,G,
Wizards of Waverly Place: The Movie,2009,98,G,
Chronicles of Narnia: Prince Caspian,2008,144,PG,
High School Musical 3: Senior Year,2008,100,PG,
Wall E,2008,98,G,
College Road Trip,2008,83,G,
Beverly Hills Chihuahua,2008,93,PG,
Minutemen,2008,98,G,
Camp Rock,2008,94,G,
Bolt,2008,96,G,
Tinker Bell,2008,70,G,
Little Mermaid III - Ariel's Beginning,2008,77,NR,
Bedtime Stories,2008,99,PG,
"Cheetah Girls, The: One World",2008,90,G,
Snow Buddies,2008,87,G,
Meet the Robinsons,2007,102,G,
Jump In!,2007,85,G,
Johnny Kapahala: Back on Board,2007,92,G,
Bridge to Terabithia,2007,95,PG,
Cinderella III: A Twist in Time,2007,70,G,
Underdog,2007,84,PG,
Pirates of the Caribbean: At World's End,2007,148,PG-13,
Ratatouille,2007,110,G,
"Game Plan, The",2007,110,PG,
Enchanted,2007,107,PG,
National Treasure: Book of Secrets,2007,124,PG,
High School Musical 2,2007,104,PG,
Twitches Too,2007,83,NR,
My Friends Tigger and Pooh: Super Sleuth Christmas,2007,44,NR,
"Secret of the Magic Gourd, The",2007,85,G,
"Shaggy Dog, The",2006,98,PG,
Eight Below,2006,120,PG,
"Wild, The",2006,94,G,
Pirates of the Caribbean: Dead Man's Chest,2006,150,PG-13,
Invincible,2006,105,PG,
Santa Clause 3: The Escape Clause,2006,98,G,
Cars,2006,116,G,
Bambi II,2006,70,G,
Glory Road,2006,118,PG,
